date,open,high,low,close,volume
2021-01-04,1.8628746000,1.8918312000,1.8628746000,1.8725268000,26678344
2021-01-05,1.8628746000,1.9014834000,1.8435702000,1.8821790000,59343926
2021-01-06,1.8725268000,1.8725268000,1.8435702000,1.8532224000,38123733
2021-01-07,1.8725268000,1.8821790000,1.8435702000,1.8628746000,30205900
2021-01-08,1.8628746000,1.8628746000,1.8435702000,1.8628746000,25483580
2021-01-11,1.8628746000,1.8628746000,1.8339180000,1.8339180000,22026500
2021-01-12,1.8339180000,1.8532224000,1.8242658000,1.8532224000,26773994
2021-01-13,1.8435702000,1.8532224000,1.8242658000,1.8532224000,30073106
2021-01-14,1.8435702000,1.9014834000,1.8435702000,1.8821790000,56092530
2021-01-15,1.8821790000,1.8821790000,1.8821790000,1.8821790000,0
2021-01-18,1.8821790000,1.8821790000,1.8821790000,1.8821790000,0
2021-01-19,1.8821790000,1.8821790000,1.8821790000,1.8821790000,0
2021-01-20,1.8821790000,1.8821790000,1.8821790000,1.8821790000,0
2021-01-21,1.8821790000,1.8821790000,1.8821790000,1.8821790000,0
2021-01-22,1.9690488000,1.9690488000,1.8725268000,1.8918312000,58723250
2021-01-25,1.8821790000,1.8821790000,1.8242658000,1.8339180000,42796932
2021-01-26,1.8435702000,1.8435702000,1.8242658000,1.8435702000,22492190
2021-01-27,1.8339180000,1.8628746000,1.8339180000,1.8532224000,19706896
2021-01-28,1.8532224000,1.8628746000,1.8339180000,1.8532224000,15148460
2021-01-29,1.8435702000,1.8532224000,1.8339180000,1.8339180000,13031936
2021-02-01,1.8435702000,1.8532224000,1.8242658000,1.8435702000,14522005
2021-02-02,1.8339180000,1.8435702000,1.8146136000,1.8339180000,19817972
2021-02-03,1.8242658000,1.8339180000,1.7953092000,1.8146136000,26539838
2021-02-04,1.8049614000,1.8049614000,1.7760048000,1.7856570000,17340170
2021-02-05,1.7856570000,1.8146136000,1.7663526000,1.8146136000,17962660
2021-02-08,1.8146136000,1.8628746000,1.8049614000,1.8532224000,30514803
2021-02-09,1.6698306000,1.6891350000,1.6698306000,1.6698306000,96669338
2021-02-10,1.6312218000,1.6891350000,1.6215696000,1.6408740000,97298076
2021-02-18,1.6408740000,1.6601784000,1.6312218000,1.6408740000,152378969
2021-02-19,1.6408740000,1.6891350000,1.6312218000,1.6794828000,100249071
2021-02-22,1.6794828000,1.7567004000,1.6698306000,1.7277438000,145454277
2021-02-23,1.7277438000,1.7373960000,1.7084394000,1.7277438000,73507302
2021-02-24,1.7180916000,1.7373960000,1.6891350000,1.6987872000,78536298
2021-02-25,1.7084394000,1.7373960000,1.6891350000,1.6987872000,118310990
2021-02-26,1.6794828000,1.6794828000,1.6505262000,1.6601784000,91994808
2021-03-01,1.6601784000,1.6891350000,1.6505262000,1.6601784000,167318593
2021-03-02,1.6601784000,1.6698306000,1.6312218000,1.6505262000,108185106
2021-03-03,1.6408740000,1.6698306000,1.6408740000,1.6698306000,112956776
2021-03-04,1.6601784000,1.7180916000,1.6505262000,1.6987872000,191111195
2021-03-05,1.6891350000,1.7180916000,1.6794828000,1.6987872000,131361682
2021-03-08,1.6987872000,1.7180916000,1.6794828000,1.6794828000,101957909
2021-03-09,1.6794828000,1.7567004000,1.6698306000,1.7180916000,185122446
2021-03-10,1.6987872000,1.7084394000,1.6698306000,1.6794828000,105098916
2021-03-11,1.6794828000,1.6987872000,1.6698306000,1.6987872000,72145646
2021-03-12,1.6891350000,1.7180916000,1.6794828000,1.7084394000,86188804
2021-03-15,1.7084394000,1.7373960000,1.6987872000,1.7373960000,135500252
2021-03-16,1.7277438000,1.7567004000,1.7180916000,1.7277438000,77822068
2021-03-17,1.7277438000,1.7277438000,1.7084394000,1.7180916000,58240940
2021-03-18,1.7084394000,1.7180916000,1.6987872000,1.7084394000,63870541
2021-03-19,1.6987872000,1.7180916000,1.6891350000,1.7084394000,57745333
2021-03-22,1.7084394000,1.7277438000,1.6987872000,1.7277438000,59573037
2021-03-23,1.7277438000,1.7373960000,1.6987872000,1.7084394000,66967048
