date,open,high,low,close,volume
2021-11-01,6.4016131200,6.5027880400,6.3832176800,6.4843926000,22526979
2021-11-02,6.4567994400,6.4935903200,6.3556245200,6.3648222400,21574387
2021-11-03,6.3464268000,6.3832176800,6.3372290800,6.3740199600,9455711
2021-11-04,6.3740199600,6.4016131200,6.3648222400,6.3832176800,10354306
2021-11-05,6.3648222400,6.4108108400,6.3648222400,6.3924154000,11453694
2021-11-08,6.3832176800,6.4200085600,6.3740199600,6.4016131200,9949543
2021-11-09,6.4108108400,6.4200085600,6.3924154000,6.4016131200,9758268
2021-11-10,6.4016131200,6.4108108400,6.3464268000,6.3924154000,12425078
2021-11-11,6.3832176800,6.4659971600,6.3740199600,6.4476017200,20154593
2021-11-12,6.4567994400,6.4659971600,6.4016131200,6.4292062800,12512921
2021-11-15,6.4292062800,6.4567994400,6.4200085600,6.4567994400,9838772
2021-11-16,6.4567994400,6.4659971600,6.4200085600,6.4200085600,11880488
2021-11-17,6.4200085600,6.4292062800,6.4016131200,6.4200085600,9260820
2021-11-18,6.4108108400,6.4200085600,6.3924154000,6.3924154000,9603331
2021-11-19,6.3924154000,6.4476017200,6.3740199600,6.4384040000,14477406
2021-11-22,6.4476017200,6.4476017200,6.4200085600,6.4292062800,11709992
2021-11-23,6.4292062800,6.4751948800,6.4292062800,6.4659971600,14526271
2021-11-24,6.4659971600,6.5027880400,6.4384040000,6.4843926000,12216296
2021-11-25,6.4751948800,6.4751948800,6.4476017200,6.4476017200,8070300
2021-11-26,6.4567994400,6.4659971600,6.4200085600,6.4292062800,9981470
2021-11-29,6.4200085600,6.4659971600,6.3924154000,6.4476017200,13876846
2021-11-30,6.4476017200,6.4843926000,6.4476017200,6.4751948800,13251384
2021-12-01,6.4843926000,6.5579743600,6.4659971600,6.5487766400,19935133
2021-12-02,6.5671720800,6.5763698000,6.5303812000,6.5395789200,19302972
2021-12-03,6.5491253800,6.5682190400,6.4822975700,6.5109380600,23795796
2021-12-06,6.5300317200,6.5777658700,6.4918444000,6.5013912300,22765471
2021-12-07,6.5395785500,6.5491253800,6.4632039100,6.4918444000,20903652
